country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name
"AUS",1,"AUS","Australia","Australia",1,"AUS","Australia","Australia"
"CCK",1,"AUS","Australia","Cocos (Keeling) Islands",1,"AUS","Australia","Cocos (Keeling) Islands"
"HMD",1,"AUS","Australia","Heard Island and McDonald Islands",1,"AUS","Australia","Heard Island and McDonald Islands"
"CXR",1,"AUS","Australia","Christmas Island",1,"AUS","Australia","Christmas Island"
"NFK",1,"AUS","Australia","Norfolk Island",1,"AUS","Australia","Norfolk Island"
"NZL",2,"NZL","New Zealand","New Zealand",2,"NZL","New Zealand","New Zealand"
"PCN",3,"XOC","Rest of Oceania","Pitcairn",3,"XOC","Rest of Oceania","Pitcairn"
"VUT",3,"XOC","Rest of Oceania","Vanuatu",3,"XOC","Rest of Oceania","Vanuatu"
"NRU",3,"XOC","Rest of Oceania","Nauru",3,"XOC","Rest of Oceania","Nauru"
"COK",3,"XOC","Rest of Oceania","Cook Islands",3,"XOC","Rest of Oceania","Cook Islands"
"PYF",3,"XOC","Rest of Oceania","French Polynesia",3,"XOC","Rest of Oceania","French Polynesia"
"WSM",3,"XOC","Rest of Oceania","Samoa",3,"XOC","Rest of Oceania","Samoa"
"NCL",3,"XOC","Rest of Oceania","New Caledonia",3,"XOC","Rest of Oceania","New Caledonia"
"WLF",3,"XOC","Rest of Oceania","Wallis and Futuna Islands",3,"XOC","Rest of Oceania","Wallis and Futuna Islands"
"ASM",3,"XOC","Rest of Oceania","American Samoa",3,"XOC","Rest of Oceania","American Samoa"
"FSM",3,"XOC","Rest of Oceania","Micronesia (Federated States of)",3,"XOC","Rest of Oceania","Micronesia, Federated States of"
"PNG",3,"XOC","Rest of Oceania","Papua New Guinea",3,"XOC","Rest of Oceania","Papua New Guinea"
"FJI",3,"XOC","Rest of Oceania","Fiji",3,"XOC","Rest of Oceania","Fiji"
"PLW",3,"XOC","Rest of Oceania","Palau",3,"XOC","Rest of Oceania","Palau"
"UMI",3,"XOC","Rest of Oceania","United States Minor Outlying Islands",3,"XOC","Rest of Oceania","United States Minor Outlying Islands"
"TKL",3,"XOC","Rest of Oceania","Tokelau",3,"XOC","Rest of Oceania","Tokelau"
"MHL",3,"XOC","Rest of Oceania","Marshall Islands",3,"XOC","Rest of Oceania","Marshall Islands"
"GUM",3,"XOC","Rest of Oceania","Guam",3,"XOC","Rest of Oceania","Guam"
"MNP",3,"XOC","Rest of Oceania","Northern Mariana Islands",3,"XOC","Rest of Oceania","Northern Mariana Islands"
"TUV",3,"XOC","Rest of Oceania","Tuvalu",3,"XOC","Rest of Oceania","Tuvalu"
"SLB",3,"XOC","Rest of Oceania","Solomon Islands",3,"XOC","Rest of Oceania","Solomon Islands"
"NIU",3,"XOC","Rest of Oceania","Niue",3,"XOC","Rest of Oceania","Niue"
"TON",3,"XOC","Rest of Oceania","Tonga",3,"XOC","Rest of Oceania","Tonga"
"KIR",3,"XOC","Rest of Oceania","Kiribati",3,"XOC","Rest of Oceania","Kiribati"
"CHN",4,"CHN","China","China",4,"CHN","China","China"
"HKG",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China",5,"HKG","Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China"
"JPN",6,"JPN","Japan","Japan",6,"JPN","Japan","Japan"
"KOR",7,"KOR","Korea, Republic of","Korea, Republic of",7,"KOR","Korea, Republic of","Korea, Republic of"
"MNG",8,"MNG","Mongolia","Mongolia",8,"MNG","Mongolia","Mongolia"
"TWN",9,"TWN","Taiwan","Taiwan",9,"TWN","Taiwan","Taiwan"
"MAC",10,"XEA","Rest of East Asia","China, Macao Special Administrative Region",10,"XEA","Rest of East Asia","Macao, Special Administrative Region of China"
"PRK",10,"XEA","Rest of East Asia","Democratic People's Republic of Korea",10,"XEA","Rest of East Asia","Korea, Democratic People's Republic of"
"BRN",11,"BRN","Brunei Darussalam","Brunei Darussalam",11,"BRN","Brunei Darussalam","Brunei Darussalam"
"KHM",12,"KHM","Cambodia","Cambodia",12,"KHM","Cambodia","Cambodia"
"IDN",13,"IDN","Indonesia","Indonesia",13,"IDN","Indonesia","Indonesia"
"LAO",14,"LAO","Lao PDR","Lao PDR",14,"LAO","Lao PDR","Lao PDR"
"MYS",15,"MYS","Malaysia","Malaysia",15,"MYS","Malaysia","Malaysia"
"PHL",16,"PHL","Philippines","Philippines",16,"PHL","Philippines","Philippines"
"SGP",17,"SGP","Singapore","Singapore",17,"SGP","Singapore","Singapore"
"THA",18,"THA","Thailand","Thailand",18,"THA","Thailand","Thailand"
"VNM",19,"VNM","Viet Nam","Viet Nam",19,"VNM","Viet Nam","Viet Nam"
"MMR",20,"XSE","Rest of Southeast Asia","Myanmar",20,"XSE","Rest of Southeast Asia","Myanmar"
"TLS",20,"XSE","Rest of Southeast Asia","Timor-Leste",20,"XSE","Rest of Southeast Asia","Timor-Leste"
"AFG",21,"AFG","Afghanistan","Afghanistan",26,"XSA","Rest of South Asia","Afghanistan"
"BGD",22,"BGD","Bangladesh","Bangladesh",21,"BGD","Bangladesh","Bangladesh"
"IND",23,"IND","India","India",22,"IND","India","India"
"NPL",24,"NPL","Nepal","Nepal",23,"NPL","Nepal","Nepal"
"PAK",25,"PAK","Pakistan","Pakistan",24,"PAK","Pakistan","Pakistan"
"LKA",26,"LKA","Sri Lanka","Sri Lanka",25,"LKA","Sri Lanka","Sri Lanka"
"MDV",27,"XSA","Rest of South Asia","Maldives",26,"XSA","Rest of South Asia","Maldives"
"BTN",27,"XSA","Rest of South Asia","Bhutan",26,"XSA","Rest of South Asia","Bhutan"
"CAN",28,"CAN","Canada","Canada",27,"CAN","Canada","Canada"
"USA",29,"USA","United States of America","United States of America",28,"USA","United States of America","United States of America"
"MEX",30,"MEX","Mexico","Mexico",29,"MEX","Mexico","Mexico"
"SPM",31,"XNA","Rest of North America","Saint Pierre and Miquelon",30,"XNA","Rest of North America","Saint Pierre and Miquelon"
"GRL",31,"XNA","Rest of North America","Greenland",30,"XNA","Rest of North America","Greenland"
"BMU",31,"XNA","Rest of North America","Bermuda",30,"XNA","Rest of North America","Bermuda"
"ARG",32,"ARG","Argentina","Argentina",31,"ARG","Argentina","Argentina"
"BOL",33,"BOL","Bolivia","Bolivia",32,"BOL","Bolivia","Bolivia"
"BRA",34,"BRA","Brazil","Brazil",33,"BRA","Brazil","Brazil"
"CHL",35,"CHL","Chile","Chile",34,"CHL","Chile","Chile"
"COL",36,"COL","Colombia","Colombia",35,"COL","Colombia","Colombia"
"ECU",37,"ECU","Ecuador","Ecuador",36,"ECU","Ecuador","Ecuador"
"PRY",38,"PRY","Paraguay","Paraguay",37,"PRY","Paraguay","Paraguay"
"PER",39,"PER","Peru","Peru",38,"PER","Peru","Peru"
"URY",40,"URY","Uruguay","Uruguay",39,"URY","Uruguay","Uruguay"
"VEN",41,"VEN","Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)",40,"VEN","Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)"
"GUY",42,"XSM","Rest of South America","Guyana",41,"XSM","Rest of South America","Guyana"
"FLK",42,"XSM","Rest of South America","Falkland Islands (Malvinas)",41,"XSM","Rest of South America","Falkland Islands (Malvinas)"
"GUF",42,"XSM","Rest of South America","French Guiana",41,"XSM","Rest of South America","French Guiana"
"SGS",42,"XSM","Rest of South America","South Georgia and the South Sandwich Islands",41,"XSM","Rest of South America","South Georgia and the South Sandwich Islands"
"SUR",42,"XSM","Rest of South America","Suriname",41,"XSM","Rest of South America","Suriname"
"CRI",43,"CRI","Costa Rica","Costa Rica",42,"CRI","Costa Rica","Costa Rica"
"GTM",44,"GTM","Guatemala","Guatemala",43,"GTM","Guatemala","Guatemala"
"HND",45,"HND","Honduras","Honduras",44,"HND","Honduras","Honduras"
"NIC",46,"NIC","Nicaragua","Nicaragua",45,"NIC","Nicaragua","Nicaragua"
"PAN",47,"PAN","Panama","Panama",46,"PAN","Panama","Panama"
"SLV",48,"SLV","El Salvador","El Salvador",47,"SLV","El Salvador","El Salvador"
"BLZ",49,"XCA","Rest of Central America","Belize",48,"XCA","Rest of Central America","Belize"
"DOM",50,"DOM","Dominican Republic","Dominican Republic",49,"DOM","Dominican Republic","Dominican Republic"
"HTI",51,"HTI","Haiti","Haiti",53,"XCB","Rest of Caribbean","Haiti"
"JAM",52,"JAM","Jamaica","Jamaica",50,"JAM","Jamaica","Jamaica"
"PRI",53,"PRI","Puerto Rico","Puerto Rico",51,"PRI","Puerto Rico","Puerto Rico"
"TTO",54,"TTO","Trinidad and Tobago","Trinidad and Tobago",52,"TTO","Trinidad and Tobago","Trinidad and Tobago"
"DMA",55,"XCB","Rest of Caribbean","Dominica",53,"XCB","Rest of Caribbean","Dominica"
"GRD",55,"XCB","Rest of Caribbean","Grenada",53,"XCB","Rest of Caribbean","Grenada"
"CUW",55,"XCB","Rest of Caribbean","Curaçao",53,"XCB","Rest of Caribbean","Netherlands Antilles"
"CYM",55,"XCB","Rest of Caribbean","Cayman Islands",53,"XCB","Rest of Caribbean","Cayman Islands"
"CUB",55,"XCB","Rest of Caribbean","Cuba",53,"XCB","Rest of Caribbean","Cuba"
"LCA",55,"XCB","Rest of Caribbean","Saint Lucia",53,"XCB","Rest of Caribbean","Saint Lucia"
"SXM",55,"XCB","Rest of Caribbean","Sint Maarten (Dutch part)",53,"XCB","Rest of Caribbean","Netherlands Antilles"
"AIA",55,"XCB","Rest of Caribbean","Anguilla",53,"XCB","Rest of Caribbean","Anguilla"
"BES",55,"XCB","Rest of Caribbean","Bonaire, Sint Eustatius and Saba",53,"XCB","Rest of Caribbean","Netherlands Antilles"
"TCA",55,"XCB","Rest of Caribbean","Turks and Caicos Islands",53,"XCB","Rest of Caribbean","Turks and Caicos Islands"
"BHS",55,"XCB","Rest of Caribbean","Bahamas",53,"XCB","Rest of Caribbean","Bahamas"
"KNA",55,"XCB","Rest of Caribbean","Saint Kitts and Nevis",53,"XCB","Rest of Caribbean","Saint Kitts and Nevis"
"VCT",55,"XCB","Rest of Caribbean","Saint Vincent and the Grenadines",53,"XCB","Rest of Caribbean","Saint Vincent and Grenadines"
"MSR",55,"XCB","Rest of Caribbean","Montserrat",53,"XCB","Rest of Caribbean","Montserrat"
"VGB",55,"XCB","Rest of Caribbean","British Virgin Islands",53,"XCB","Rest of Caribbean","British Virgin Islands"
"MAF",55,"XCB","Rest of Caribbean","Saint Martin (French Part)",,"","",""
"BLM",55,"XCB","Rest of Caribbean","Saint Barthélemy",,"","",""
"ATG",55,"XCB","Rest of Caribbean","Antigua and Barbuda",53,"XCB","Rest of Caribbean","Antigua and Barbuda"
"ABW",55,"XCB","Rest of Caribbean","Aruba",53,"XCB","Rest of Caribbean","Aruba"
"BRB",55,"XCB","Rest of Caribbean","Barbados",53,"XCB","Rest of Caribbean","Barbados"
"VIR",55,"XCB","Rest of Caribbean","United States Virgin Islands",53,"XCB","Rest of Caribbean","Virgin Islands, US"
"AUT",56,"AUT","Austria","Austria",54,"AUT","Austria","Austria"
"BEL",57,"BEL","Belgium","Belgium",55,"BEL","Belgium","Belgium"
"BGR",58,"BGR","Bulgaria","Bulgaria",56,"BGR","Bulgaria","Bulgaria"
"HRV",59,"HRV","Croatia","Croatia",57,"HRV","Croatia","Croatia"
"CYP",60,"CYP","Cyprus","Cyprus",58,"CYP","Cyprus","Cyprus"
"CZE",61,"CZE","Czech Republic","Czech Republic",59,"CZE","Czech Republic","Czech Republic"
"DNK",62,"DNK","Denmark","Denmark",60,"DNK","Denmark","Denmark"
"EST",63,"EST","Estonia","Estonia",61,"EST","Estonia","Estonia"
"FIN",64,"FIN","Finland","Finland",62,"FIN","Finland","Finland"
"ALA",64,"FIN","Finland","Åland Islands",62,"FIN","Finland","Aland Islands"
"REU",65,"FRA","France","Réunion",63,"FRA","France","Réunion"
"FRA",65,"FRA","France","France",63,"FRA","France","France"
"GLP",65,"FRA","France","Guadeloupe",63,"FRA","France","Guadeloupe"
"MTQ",65,"FRA","France","Martinique",63,"FRA","France","Martinique"
"DEU",66,"DEU","Germany","Germany",64,"DEU","Germany","Germany"
"GRC",67,"GRC","Greece","Greece",65,"GRC","Greece","Greece"
"HUN",68,"HUN","Hungary","Hungary",66,"HUN","Hungary","Hungary"
"IRL",69,"IRL","Ireland","Ireland",67,"IRL","Ireland","Ireland"
"ITA",70,"ITA","Italy","Italy",68,"ITA","Italy","Italy"
"LVA",71,"LVA","Latvia","Latvia",69,"LVA","Latvia","Latvia"
"LTU",72,"LTU","Lithuania","Lithuania",70,"LTU","Lithuania","Lithuania"
"LUX",73,"LUX","Luxembourg","Luxembourg",71,"LUX","Luxembourg","Luxembourg"
"MLT",74,"MLT","Malta","Malta",72,"MLT","Malta","Malta"
"NLD",75,"NLD","Netherlands","Netherlands",73,"NLD","Netherlands","Netherlands"
"POL",76,"POL","Poland","Poland",74,"POL","Poland","Poland"
"PRT",77,"PRT","Portugal","Portugal",75,"PRT","Portugal","Portugal"
"ROU",78,"ROU","Romania","Romania",76,"ROU","Romania","Romania"
"SVK",79,"SVK","Slovakia","Slovakia",77,"SVK","Slovakia","Slovakia"
"SVN",80,"SVN","Slovenia","Slovenia",78,"SVN","Slovenia","Slovenia"
"ESP",81,"ESP","Spain","Spain",79,"ESP","Spain","Spain"
"SWE",82,"SWE","Sweden","Sweden",80,"SWE","Sweden","Sweden"
"GBR",83,"GBR","United Kingdom","United Kingdom",81,"GBR","United Kingdom","United Kingdom"
"CHE",84,"CHE","Switzerland","Switzerland",82,"CHE","Switzerland","Switzerland"
"NOR",85,"NOR","Norway","Norway",83,"NOR","Norway","Norway"
"SJM",85,"NOR","Norway","Svalbard and Jan Mayen Islands",83,"NOR","Norway","Svalbard and Jan Mayen Islands"
"LIE",86,"XEF","Rest of European Free Trade Association","Liechtenstein",84,"XEF","Rest of European Free Trade Association","Liechtenstein"
"ISL",86,"XEF","Rest of European Free Trade Association","Iceland",84,"XEF","Rest of European Free Trade Association","Iceland"
"ALB",87,"ALB","Albania","Albania",85,"ALB","Albania","Albania"
"SRB",88,"SRB","Serbia","Serbia",90,"XER","Rest of Europe","Serbia"
"BLR",89,"BLR","Belarus","Belarus",86,"BLR","Belarus","Belarus"
"RUS",90,"RUS","Russian Federation","Russian Federation",87,"RUS","Russian Federation","Russian Federation"
"UKR",91,"UKR","Ukraine","Ukraine",88,"UKR","Ukraine","Ukraine"
"MDA",92,"XEE","Rest of Eastern Europe","Republic of Moldova",89,"XEE","Rest of Eastern Europe","Moldova"
"AND",93,"XER","Rest of Europe","Andorra",90,"XER","Rest of Europe","Andorra"
"BIH",93,"XER","Rest of Europe","Bosnia and Herzegovina",90,"XER","Rest of Europe","Bosnia and Herzegovina"
"GGY",93,"XER","Rest of Europe","Guernsey",90,"XER","Rest of Europe","Guernsey"
"GIB",93,"XER","Rest of Europe","Gibraltar",90,"XER","Rest of Europe","Gibraltar"
"FRO",93,"XER","Rest of Europe","Faroe Islands",90,"XER","Rest of Europe","Faroe Islands"
"CRQ",93,"XER","Rest of Europe","Sark",,"","",""
"MCO",93,"XER","Rest of Europe","Monaco",90,"XER","Rest of Europe","Monaco"
"VAT",93,"XER","Rest of Europe","Holy See",90,"XER","Rest of Europe","Holy See (Vatican City State)"
"SMR",93,"XER","Rest of Europe","San Marino",90,"XER","Rest of Europe","San Marino"
"IMN",93,"XER","Rest of Europe","Isle of Man",90,"XER","Rest of Europe","Isle of Man"
"MNE",93,"XER","Rest of Europe","Montenegro",90,"XER","Rest of Europe","Montenegro"
"XKS",93,"XER","Rest of Europe","Kosovo",,"","",""
"JEY",93,"XER","Rest of Europe","Jersey",90,"XER","Rest of Europe","Jersey"
"MKD",93,"XER","Rest of Europe","North Macedonia",90,"XER","Rest of Europe","North Macedonia"
"KAZ",94,"KAZ","Kazakhstan","Kazakhstan",91,"KAZ","Kazakhstan","Kazakhstan"
"KGZ",95,"KGZ","Kyrgyzstan","Kyrgyzstan",92,"KGZ","Kyrgyzstan","Kyrgyzstan"
"TJK",96,"TJK","Tajikistan","Tajikistan",93,"TJK","Tajikistan","Tajikistan"
"UZB",97,"UZB","Uzbekistan","Uzbekistan",94,"XSU","Rest of Former Soviet Union","Uzbekistan"
"TKM",98,"XSU","Rest of Former Soviet Union","Turkmenistan",94,"XSU","Rest of Former Soviet Union","Turkmenistan"
"ARM",99,"ARM","Armenia","Armenia",95,"ARM","Armenia","Armenia"
"AZE",100,"AZE","Azerbaijan","Azerbaijan",96,"AZE","Azerbaijan","Azerbaijan"
"GEO",101,"GEO","Georgia","Georgia",97,"GEO","Georgia","Georgia"
"BHR",102,"BHR","Bahrain","Bahrain",98,"BHR","Bahrain","Bahrain"
"IRN",103,"IRN","Iran, Islamic Republic of","Iran, Islamic Republic of",99,"IRN","Iran, Islamic Republic of","Iran, Islamic Republic of"
"IRQ",104,"IRQ","Iraq","Iraq",108,"XWS","Rest of Western Asia","Iraq"
"ISR",105,"ISR","Israel","Israel",100,"ISR","Israel","Israel"
"JOR",106,"JOR","Jordan","Jordan",101,"JOR","Jordan","Jordan"
"KWT",107,"KWT","Kuwait","Kuwait",102,"KWT","Kuwait","Kuwait"
"LBN",108,"LBN","Lebanon","Lebanon",108,"XWS","Rest of Western Asia","Lebanon"
"OMN",109,"OMN","Oman","Oman",103,"OMN","Oman","Oman"
"PSE",110,"PSE","Palestineian Territory, Occupied","Palestineian Territory, Occupied",108,"XWS","Rest of Western Asia","Palestinian Territory, Occupied"
"QAT",111,"QAT","Qatar","Qatar",104,"QAT","Qatar","Qatar"
"SAU",112,"SAU","Saudi Arabia","Saudi Arabia",105,"SAU","Saudi Arabia","Saudi Arabia"
"SYR",113,"SYR","Syrian Arab Republic","Syrian Arab Republic",108,"XWS","Rest of Western Asia","Syrian Arab Republic (Syria)"
"TUR",114,"TUR","Turkey","Turkey",106,"TUR","Türkiye","Türkiye"
"ARE",115,"ARE","United Arab Emirates","United Arab Emirates",107,"ARE","United Arab Emirates","United Arab Emirates"
"YEM",116,"XWS","Rest of Western Asia","Yemen",108,"XWS","Rest of Western Asia","Yemen"
"DZA",117,"DZA","Algeria","Algeria",112,"XNF","Rest of North Africa","Algeria"
"EGY",118,"EGY","Egypt","Egypt",109,"EGY","Egypt","Egypt"
"MAR",119,"MAR","Morocco","Morocco",110,"MAR","Morocco","Morocco"
"TUN",120,"TUN","Tunisia","Tunisia",111,"TUN","Tunisia","Tunisia"
"ESH",121,"XNF","Rest of North Africa","Western Sahara",112,"XNF","Rest of North Africa","Western Sahara"
"LBY",121,"XNF","Rest of North Africa","Libya",112,"XNF","Rest of North Africa","Libya"
"BEN",122,"BEN","Benin","Benin",113,"BEN","Benin","Benin"
"BFA",123,"BFA","Burkina Faso","Burkina Faso",114,"BFA","Burkina Faso","Burkina Faso"
"CMR",124,"CMR","Cameroon","Cameroon",115,"CMR","Cameroon","Cameroon"
"CIV",125,"CIV","Côte d'Ivoire","Côte d'Ivoire",116,"CIV","Côte d'Ivoire","Côte d'Ivoire"
"GHA",126,"GHA","Ghana","Ghana",117,"GHA","Ghana","Ghana"
"GIN",127,"GIN","Guinea","Guinea",118,"GIN","Guinea","Guinea"
"MLI",128,"MLI","Mali","Mali",122,"XWF","Rest of Western Africa","Mali"
"NER",129,"NER","Niger","Niger",122,"XWF","Rest of Western Africa","Niger"
"NGA",130,"NGA","Nigeria","Nigeria",119,"NGA","Nigeria","Nigeria"
"SEN",131,"SEN","Senegal","Senegal",120,"SEN","Senegal","Senegal"
"TGO",132,"TGO","Togo","Togo",121,"TGO","Togo","Togo"
"LBR",133,"XWF","Rest of Western Africa","Liberia",122,"XWF","Rest of Western Africa","Liberia"
"GMB",133,"XWF","Rest of Western Africa","Gambia",122,"XWF","Rest of Western Africa","Gambia"
"CPV",133,"XWF","Rest of Western Africa","Cabo Verde",122,"XWF","Rest of Western Africa","Cape Verde"
"GNB",133,"XWF","Rest of Western Africa","Guinea-Bissau",122,"XWF","Rest of Western Africa","Guinea-Bissau"
"MRT",133,"XWF","Rest of Western Africa","Mauritania",122,"XWF","Rest of Western Africa","Mauritania"
"SHN",133,"XWF","Rest of Western Africa","Saint Helena",122,"XWF","Rest of Western Africa","Saint Helena"
"SLE",133,"XWF","Rest of Western Africa","Sierra Leone",122,"XWF","Rest of Western Africa","Sierra Leone"
"CAF",134,"CAF","Central African Republic","Central African Republic",123,"XCF","Rest of Central Africa","Central African Republic"
"TCD",135,"TCD","Chad","Chad",123,"XCF","Rest of Central Africa","Chad"
"COG",136,"COG","Congo","Congo",123,"XCF","Rest of Central Africa","Congo"
"COD",137,"COD","Democratic Republic of the Congo","Democratic Republic of the Congo",124,"XAC","South Central Africa","Congo, Democratic Republic of the"
"GNQ",138,"GNQ","Equatorial Guinea","Equatorial Guinea",123,"XCF","Rest of Central Africa","Equatorial Guinea"
"GAB",139,"GAB","Gabon","Gabon",123,"XCF","Rest of Central Africa","Gabon"
"STP",140,"XAC","Rest of South and Central Africa","Sao Tome and Principe",123,"XCF","Rest of Central Africa","Sao Tome and Principe"
"AGO",140,"XAC","Rest of South and Central Africa","Angola",124,"XAC","South Central Africa","Angola"
"COM",141,"COM","Comoros","Comoros",136,"XEC","Rest of Eastern Africa","Comoros"
"ETH",142,"ETH","Ethiopia","Ethiopia",125,"ETH","Ethiopia","Ethiopia"
"KEN",143,"KEN","Kenya","Kenya",126,"KEN","Kenya","Kenya"
"MDG",144,"MDG","Madagascar","Madagascar",127,"MDG","Madagascar","Madagascar"
"MWI",145,"MWI","Malawi","Malawi",128,"MWI","Malawi","Malawi"
"MUS",146,"MUS","Mauritius","Mauritius",129,"MUS","Mauritius","Mauritius"
"MOZ",147,"MOZ","Mozambique","Mozambique",130,"MOZ","Mozambique","Mozambique"
"RWA",148,"RWA","Rwanda","Rwanda",131,"RWA","Rwanda","Rwanda"
"SDN",149,"SDN","Sudan","Sudan",136,"XEC","Rest of Eastern Africa","Sudan"
"TZA",150,"TZA","Tanzania, United Republic of","Tanzania, United Republic of",132,"TZA","Tanzania, United Republic of","Tanzania, United Republic of"
"UGA",151,"UGA","Uganda","Uganda",133,"UGA","Uganda","Uganda"
"ZMB",152,"ZMB","Zambia","Zambia",134,"ZMB","Zambia","Zambia"
"ZWE",153,"ZWE","Zimbabwe","Zimbabwe",135,"ZWE","Zimbabwe","Zimbabwe"
"ERI",154,"XEC","Rest of Eastern Africa","Eritrea",136,"XEC","Rest of Eastern Africa","Eritrea"
"SYC",154,"XEC","Rest of Eastern Africa","Seychelles",136,"XEC","Rest of Eastern Africa","Seychelles"
"DJI",154,"XEC","Rest of Eastern Africa","Djibouti",136,"XEC","Rest of Eastern Africa","Djibouti"
"SOM",154,"XEC","Rest of Eastern Africa","Somalia",136,"XEC","Rest of Eastern Africa","Somalia"
"MYT",154,"XEC","Rest of Eastern Africa","Mayotte",136,"XEC","Rest of Eastern Africa","Mayotte"
"SSD",154,"XEC","Rest of Eastern Africa","South Sudan",,"","",""
"BDI",154,"XEC","Rest of Eastern Africa","Burundi",136,"XEC","Rest of Eastern Africa","Burundi"
"BWA",155,"BWA","Botswana","Botswana",137,"BWA","Botswana","Botswana"
"SWZ",156,"SWZ","Eswatini","Eswatini",140,"XSC","Rest of South African Customs Union","Eswatini"
"NAM",157,"NAM","Namibia","Namibia",138,"NAM","Namibia","Namibia"
"ZAF",158,"ZAF","South Africa","South Africa",139,"ZAF","South Africa","South Africa"
"LSO",159,"XSC","Rest of South African Customs Union","Lesotho",140,"XSC","Rest of South African Customs Union","Lesotho"
"BVT",160,"XTW","Rest of the World","Bouvet Island",141,"XTW","Rest of the World","Bouvet Island"
"ATF",160,"XTW","Rest of the World","French Southern Territories",141,"XTW","Rest of the World","French Southern Territories"
"ATA",160,"XTW","Rest of the World","Antarctica",141,"XTW","Rest of the World","Antarctica"
"IOT",160,"XTW","Rest of the World","British Indian Ocean Territory",141,"XTW","Rest of the World","British Indian Ocean Territory"
